"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"RepparfjordHaddock2016-2017_Mid Repparfjorden","Mid Repparfjorden mining-impacted fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","American plaice_muscle","RepparfjordHaddock2016-2017_Mid Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AmericanPlaiceMuscle"
"RepparfjordHaddock2016-2017_Mid Repparfjorden","Mid Repparfjorden mining-impacted fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","American plaice_liver","RepparfjordHaddock2016-2017_Mid Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AmericanPlaiceLiver"
"RepparfjordHaddock2016-2017_Mid Repparfjorden","Mid Repparfjorden mining-impacted fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Witch flounder_muscle","RepparfjordHaddock2016-2017_Mid Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-WitchFlounderMuscle"
"RepparfjordHaddock2016-2017_Mid Repparfjorden","Mid Repparfjorden mining-impacted fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Witch flounder_liver","RepparfjordHaddock2016-2017_Mid Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-WitchFlounderLiver"
"RepparfjordHaddock2016-2017_Mid Repparfjorden","Mid Repparfjorden mining-impacted fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Starry ray_muscle","RepparfjordHaddock2016-2017_Mid Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-StarryRayMuscle"
"RepparfjordHaddock2016-2017_Mid Repparfjorden","Mid Repparfjorden mining-impacted fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Starry ray_liver","RepparfjordHaddock2016-2017_Mid Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-StarryRayLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Atlantic cod_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AtlanticCodMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Atlantic cod_liver","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AtlanticCodLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Atlantic haddock_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AtlanticHaddockMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Atlantic haddock_liver","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AtlanticHaddockLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Atlantic halibut_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AtlanticHalibutMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Atlantic halibut_liver","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AtlanticHalibutLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Blue mussel_flesh","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-BlueMusselFlesh"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","American plaice_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AmericanPlaiceMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","American plaice_liver","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-AmericanPlaiceLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Witch flounder_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-WitchFlounderMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Witch flounder_liver","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-WitchFlounderLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Starry ray_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-StarryRayMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Starry ray_liver","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-StarryRayLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Common dab_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-CommonDabMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","Common dab_liver","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-CommonDabLiver"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","King crab_muscle","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-KingCrabMuscle"
"RepparfjordHaddock2016-2017_Inner Repparfjorden","Inner Repparfjorden mining-impacted fjord old STD site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2016-09-19","King crab_hepatopancreas","RepparfjordHaddock2016-2017_Inner Repparfjorden-Copper-BiotaAquatic-2016-09-19-R-KingCrabHepatopancreas"
