"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"Flekkefjord2018_S5","S5 - Near abandoned tannery","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-10-10","15m","Flekkefjord2018_S5-Copper-BiotaAquatic-2018-10-10-R15m"
"Flekkefjord2018_S1","S1 - Reference site in outer Flekkefjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","5m","Flekkefjord2018_S1-Copper-BiotaAquatic-2018-11-15-R5m"
"Flekkefjord2018_S1","S1 - Reference site in outer Flekkefjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","15m","Flekkefjord2018_S1-Copper-BiotaAquatic-2018-11-15-R15m"
"Flekkefjord2018_S2","S2 - Near old ship industry","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","5m","Flekkefjord2018_S2-Copper-BiotaAquatic-2018-11-15-R5m"
"Flekkefjord2018_S2","S2 - Near old ship industry","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","15m","Flekkefjord2018_S2-Copper-BiotaAquatic-2018-11-15-R15m"
"Flekkefjord2018_S3","S3 - Near Slippen industrial area","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","5m","Flekkefjord2018_S3-Copper-BiotaAquatic-2018-11-15-R5m"
"Flekkefjord2018_S3","S3 - Near Slippen industrial area","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","15m","Flekkefjord2018_S3-Copper-BiotaAquatic-2018-11-15-R15m"
"Flekkefjord2018_S4","S4 - Near old landfill","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","5m","Flekkefjord2018_S4-Copper-BiotaAquatic-2018-11-15-R5m"
"Flekkefjord2018_S4","S4 - Near old landfill","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","15m","Flekkefjord2018_S4-Copper-BiotaAquatic-2018-11-15-R15m"
"Flekkefjord2018_S5","S5 - Near abandoned tannery","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","5m","Flekkefjord2018_S5-Copper-BiotaAquatic-2018-11-15-R5m"
"Flekkefjord2018_S5","S5 - Near abandoned tannery","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-11-15","15m","Flekkefjord2018_S5-Copper-BiotaAquatic-2018-11-15-R15m"
"Flekkefjord2018_S1","S1 - Reference site in outer Flekkefjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","5m","Flekkefjord2018_S1-Copper-BiotaAquatic-2018-12-15-R5m"
"Flekkefjord2018_S1","S1 - Reference site in outer Flekkefjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","15m","Flekkefjord2018_S1-Copper-BiotaAquatic-2018-12-15-R15m"
"Flekkefjord2018_S2","S2 - Near old ship industry","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","5m","Flekkefjord2018_S2-Copper-BiotaAquatic-2018-12-15-R5m"
"Flekkefjord2018_S2","S2 - Near old ship industry","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","15m","Flekkefjord2018_S2-Copper-BiotaAquatic-2018-12-15-R15m"
"Flekkefjord2018_S3","S3 - Near Slippen industrial area","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","5m","Flekkefjord2018_S3-Copper-BiotaAquatic-2018-12-15-R5m"
"Flekkefjord2018_S3","S3 - Near Slippen industrial area","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","15m","Flekkefjord2018_S3-Copper-BiotaAquatic-2018-12-15-R15m"
"Flekkefjord2018_S4","S4 - Near old landfill","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","5m","Flekkefjord2018_S4-Copper-BiotaAquatic-2018-12-15-R5m"
"Flekkefjord2018_S4","S4 - Near old landfill","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","15m","Flekkefjord2018_S4-Copper-BiotaAquatic-2018-12-15-R15m"
"Flekkefjord2018_S5","S5 - Near abandoned tannery","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","5m","Flekkefjord2018_S5-Copper-BiotaAquatic-2018-12-15-R5m"
"Flekkefjord2018_S5","S5 - Near abandoned tannery","Copper","Stressor","Biota","Biota, Aquatic","Internal","2018-12-15","15m","Flekkefjord2018_S5-Copper-BiotaAquatic-2018-12-15-R15m"
